,date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
0,2020-03-25,2330,108年第3季,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2020-03-19,2020-04-16,0.0,0.0,0.0,0.0,0.0,25930380458.0,2019-11-14,17:01:07
1,2020-06-24,2330,108年第4季,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2020-06-18,2020-07-16,0.0,0.0,0.0,0.0,0.0,25930380458.0,2020-02-14,15:10:50
2,2020-09-23,2330,109年第1季,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2020-09-17,2020-10-15,0.0,0.0,0.0,0.0,0.0,25930380458.0,2020-05-14,10:51:55
3,2020-12-23,2330,109年第2季,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2020-12-17,2021-01-14,0.0,0.0,0.0,0.0,0.0,25930380458.0,2020-08-17,14:14:09
4,2021-03-23,2330,109年第3季,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2021-03-17,2021-04-15,0.0,0.0,0.0,0.0,0.0,25930380458.0,2020-11-12,17:05:40
5,2021-06-23,2330,109年第4季,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2021-06-17,2021-07-15,0.0,0.0,0.0,0.0,0.0,25930380458.0,2021-03-22,15:58:28
6,2021-09-22,2330,110年第1季,0.0,0.0,,0.0,0.0,0.0,0.0,2.75,0.0,2021-09-16,2021-10-14,0.0,0.0,0.0,0.0,0.0,25930380458.0,2021-06-16,16:04:33
7,2021-12-22,2330,110年第2季,0.0,0.0,,0.0,0.0,0.0,0.0,2.75,0.0,2021-12-16,2022-01-13,0.0,0.0,0.0,0.0,0.0,25930380458.0,2021-08-13,17:15:33
8,2022-03-22,2330,110年第3季,0.0,0.0,,0.0,0.0,0.0,0.0,2.75,0.0,2022-03-16,2022-04-14,0.0,0.0,0.0,0.0,0.0,25930380458.0,2022-03-01,18:07:32
9,2022-06-22,2330,110年第4季,0.0,0.0,,0.0,0.0,0.0,0.0,2.75,0.0,2022-06-16,2022-07-14,0.0,0.0,0.0,0.0,0.0,25930380458.0,2022-05-18,18:08:54
10,2022-09-21,2330,111年第1季,0.0,0.0,,0.0,0.0,0.0,0.0,2.75,0.0,2022-09-15,2022-10-13,0.0,0.0,0.0,0.0,0.0,25930380458.0,2022-08-30,16:21:02
11,2022-12-21,2330,111年第2季,0.0,0.0,,0.0,0.0,0.0,0.0,2.75,0.0,2022-12-15,2023-01-12,0.0,0.0,0.0,0.0,0.0,25930380458.0,2022-11-30,15:47:04
