排名,代號,名稱,成交,漲跌價,漲跌幅,面值(元),股本(億),發行量(萬張),市值(億),成立年數,掛牌年數,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
1,2330,台積電,459,1.5,0.33,10,"2,593","2,593","119,020",35.8,28.3,有,有,有,有,,,半導體業,劉德音,總裁: 魏哲家
2,2317,鴻海,100,0,0,10,"1,386","1,386","13,863",48.8,31.5,有,有,有,有,,,其他電子業,劉揚偉,劉揚偉
3,2454,聯發科,654,8,1.24,10,160,159.9,"10,460",25.6,21.4,有,有,有,,,,半導體業,蔡明介,陳冠州
4,2412,中華電,111.5,0,0,10,776,775.7,"8,650",26.5,22.2,有,有,,,,,通信網路業,謝繼茂,郭水義
5,6505,台塑化,79.6,-0.1,-0.13,10,953,952.6,"7,583",30.7,19,,,,,,,油電燃氣業,陳?郎,曹明
6,2308,台達電,283.5,0.5,0.18,10,260,259.8,"7,364",47.3,34,有,,有,有,,,電子零組件業,海英俊,張訓海
7,2881,富邦金,56.2,0,0,10,"1,400","1,240","6,966",21,21,有,有,有,有,,有,金控業,蔡明興,韓蔚廷
8,1303,南亞,70.5,0.2,0.28,10,793,793.1,"5,591",64.3,55.1,有,有,有,,,,塑膠工業,吳嘉昭,鄒明仁
9,1301,台塑,85.4,0.1,0.12,10,637,636.6,"5,436",68.1,58.4,有,有,有,,,,塑膠工業,林健男,林健男
10,2882,國泰金,40,-0.15,-0.37,10,"1,470","1,317","5,268",21,21,有,有,有,,,有,金控業,蔡宏圖,李長庚
11,2303,聯電,42,0.15,0.36,10,"1,250","1,250","5,252",42.6,37.4,有,有,有,有,,,半導體業,洪嘉聰,簡山傑、王石
12,2002,中鋼,29.7,1.25,4.39,10,"1,577","1,573","4,673",51.1,48,有,有,有,有,,有,鋼鐵工業,翁朝棟,王錫欽
13,2886,兆豐金,30.5,-0.15,-0.49,10,"1,394","1,394","4,252",20.9,20.9,有,有,有,有,,,金控業,張兆順,胡光華
